,Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
73,74,6.1,2.8,4.7,1.2,Iris-versicolor
18,19,5.7,3.8,1.7,0.3,Iris-setosa
117,118,7.7,3.8,6.7,2.2,Iris-virginica
78,79,6.0,2.9,4.5,1.5,Iris-versicolor
76,77,6.8,2.8,4.8,1.4,Iris-versicolor
31,32,5.4,3.4,1.5,0.4,Iris-setosa
64,65,5.6,2.9,3.6,1.3,Iris-versicolor
141,142,6.9,3.1,5.1,2.3,Iris-virginica
68,69,6.2,2.2,4.5,1.5,Iris-versicolor
82,83,5.8,2.7,3.9,1.2,Iris-versicolor
109,110,7.2,3.6,6.1,2.5,Iris-virginica
12,13,4.8,3.0,1.4,0.1,Iris-setosa
36,37,5.5,3.5,1.3,0.2,Iris-setosa
9,10,4.9,3.1,1.5,0.1,Iris-setosa
19,20,5.1,3.8,1.5,0.3,Iris-setosa
56,57,6.3,3.3,4.7,1.6,Iris-versicolor
136,137,6.3,3.4,5.6,2.4,Iris-virginica
69,70,5.6,2.5,3.9,1.1,Iris-versicolor
55,56,5.7,2.8,4.5,1.3,Iris-versicolor
131,132,7.9,3.8,6.4,2.0,Iris-virginica
29,30,4.7,3.2,1.6,0.2,Iris-setosa
123,124,6.3,2.7,4.9,1.8,Iris-virginica
26,27,5.0,3.4,1.6,0.4,Iris-setosa
127,128,6.1,3.0,4.9,1.8,Iris-virginica
128,129,6.4,2.8,5.6,2.1,Iris-virginica
145,146,6.7,3.0,5.2,2.3,Iris-virginica
110,111,6.5,3.2,5.1,2.0,Iris-virginica
101,102,5.8,2.7,5.1,1.9,Iris-virginica
45,46,4.8,3.0,1.4,0.3,Iris-setosa
30,31,4.8,3.1,1.6,0.2,Iris-setosa
22,23,4.6,3.6,1.0,0.2,Iris-setosa
15,16,5.7,4.4,1.5,0.4,Iris-setosa
65,66,6.7,3.1,4.4,1.4,Iris-versicolor
11,12,4.8,3.4,1.6,0.2,Iris-setosa
42,43,4.4,3.2,1.3,0.2,Iris-setosa
105,106,7.6,3.0,6.6,2.1,Iris-virginica
51,52,6.4,3.2,4.5,1.5,Iris-versicolor
